                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.298,                 4.3942,                 1.4646,                 0.7288,                0.33603,                0.36536,                0.17539,                 1.4676,                 9.4776,                 1.7798,             0.00041045,             0.00041045,             0.00041045
                      2,                 1.4072,                 3.5347,                 1.5264,                0.37976,                0.42529,                0.40916,                0.20453,                 1.8413,                 11.953,                 2.2776,             0.00081893,             0.00081893,             0.00081893
                      3,                 1.4761,                 3.3007,                 1.5706,                0.64682,                0.27326,                0.32842,                0.16496,                 2.0324,                 8.0625,                   2.15,              0.0012192,              0.0012192,              0.0012192
                      4,                 1.4231,                 2.8888,                 1.5489,                 0.6134,                0.45403,                0.35624,                0.18287,                 1.9511,                 20.829,                 2.7726,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.3905,                 2.5123,                 1.5242,                0.35957,                0.43828,                0.39455,                0.20122,                 1.9734,                 5.5163,                  2.595,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.4024,                 2.1048,                 1.4846,                0.72496,                0.38334,                0.45361,                 0.2449,                 1.7113,                 2.9222,                  1.912,              0.0011881,              0.0011881,              0.0011881
                      7,                  1.349,                 1.7596,                 1.4434,                0.67173,                0.43965,                0.46581,                0.26011,                   1.62,                 2.7368,                 1.8586,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.3451,                 1.7802,                 1.4551,                 0.8223,                0.44823,                0.52866,                0.28998,                 1.6538,                  2.404,                 1.8295,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.3475,                 1.7551,                 1.4744,                0.65568,                0.47958,                0.46984,                0.26481,                 1.5056,                 2.7286,                 1.7029,               0.001151,               0.001151,               0.001151
                     10,                 1.3118,                 1.6103,                 1.4302,                0.79913,                0.45568,                0.52894,                0.28797,                 1.5033,                 2.3605,                 1.6583,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.3383,                 1.6619,                 1.4209,                0.77081,                0.48315,                0.52473,                0.29649,                 1.6657,                 2.3896,                 1.9128,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.2443,                 1.4793,                    1.4,                0.73483,                0.41178,                0.48793,                0.27756,                 1.5499,                 2.2124,                 1.8209,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.2331,                 1.5265,                 1.3916,                0.62984,                0.53874,                0.52842,                0.30857,                 1.4227,                 1.6797,                  1.642,              0.0011015,              0.0011015,              0.0011015
                     14,                  1.205,                  1.349,                 1.3842,                0.81692,                0.52642,                0.63154,                0.37231,                 1.3812,                  1.463,                 1.6135,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.2161,                 1.3642,                 1.3581,                0.72877,                0.58627,                 0.7028,                0.42322,                 1.3143,                 1.5153,                 1.5605,              0.0010768,              0.0010768,              0.0010768
                     16,                   1.21,                 1.2613,                 1.3517,                0.79935,                0.47869,                0.65539,                0.35177,                 1.4592,                 1.8289,                 1.6893,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.2011,                 1.3169,                 1.3483,                0.47984,                0.72504,                0.69437,                0.40649,                 1.2205,                 1.5075,                 1.4855,               0.001052,               0.001052,               0.001052
                     18,                  1.184,                 1.2672,                 1.3368,                0.63976,                0.72732,                0.69495,                0.37621,                 1.3404,                 1.3385,                 1.5437,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.1195,                 1.1478,                 1.2818,                0.61411,                0.61244,                0.67524,                0.39417,                 1.2748,                  1.365,                 1.5354,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.1019,                 1.1834,                 1.2872,                0.52784,                0.75751,                0.67377,                0.38915,                 1.2554,                 1.3347,                 1.4472,              0.0010149,              0.0010149,              0.0010149
                     21,                  1.147,                 1.1829,                 1.2953,                0.72608,                0.64907,                0.71288,                0.40145,                 1.3023,                 1.2355,                 1.5137,              0.0010025,              0.0010025,              0.0010025
                     22,                  1.112,                 1.1015,                 1.2928,                0.51905,                0.78034,                0.75512,                0.42814,                 1.2761,                 1.1281,                 1.4988,             0.00099013,             0.00099013,             0.00099013
                     23,                 1.0831,                 1.0931,                 1.2542,                0.60914,                0.67663,                0.64716,                0.37126,                 1.3113,                 1.4574,                 1.5844,             0.00097775,             0.00097775,             0.00097775
                     24,                 1.0922,                 1.1425,                 1.2987,                0.81669,                0.51839,                0.70164,                0.41974,                 1.2181,                 1.1586,                 1.4954,             0.00096537,             0.00096537,             0.00096537
                     25,                 1.1006,                 1.1525,                 1.2973,                0.58729,                0.64112,                 0.6875,                0.41203,                 1.2558,                 1.2317,                 1.5094,               0.000953,               0.000953,               0.000953
                     26,                  1.057,                 1.0681,                 1.2602,                0.73283,                0.64422,                0.71159,                0.40859,                 1.1876,                 1.0861,                 1.4349,             0.00094062,             0.00094062,             0.00094062
                     27,                 1.0733,                 1.0485,                 1.2559,                0.85958,                   0.64,                0.76931,                0.44947,                  1.216,                 1.2249,                 1.4303,             0.00092825,             0.00092825,             0.00092825
                     28,                 1.0522,                 1.0118,                  1.267,                0.72136,                0.67595,                0.76383,                0.44073,                 1.1752,                  1.313,                 1.4666,             0.00091588,             0.00091588,             0.00091588
                     29,                 1.0758,                 1.0402,                 1.2643,                0.57789,                0.81418,                0.71806,                0.42283,                 1.2574,                 1.2739,                 1.4793,              0.0009035,              0.0009035,              0.0009035
                     30,                 1.0774,                 1.0774,                  1.277,                0.74169,                0.74017,                0.78751,                0.47425,                 1.0668,                  1.073,                 1.3774,             0.00089112,             0.00089112,             0.00089112
                     31,                 1.0659,                 1.0306,                 1.2743,                0.64786,                0.71832,                0.73492,                0.45287,                 1.2783,                 1.0351,                 1.5201,             0.00087875,             0.00087875,             0.00087875
                     32,                0.97566,                0.93626,                 1.2156,                0.69701,                0.71612,                0.78069,                0.46021,                 1.1683,                 1.3634,                 1.4529,             0.00086637,             0.00086637,             0.00086637
                     33,                  1.023,                 1.0035,                 1.2462,                0.56619,                0.75775,                0.70971,                0.42915,                 1.1856,                 1.0992,                 1.4689,               0.000854,               0.000854,               0.000854
                     34,                 1.0549,                 1.0283,                 1.2479,                0.78979,                0.65621,                0.81585,                0.49071,                 1.1414,                0.92219,                 1.3875,             0.00084162,             0.00084162,             0.00084162
                     35,                 1.0484,                 1.0082,                 1.2753,                0.60377,                0.82046,                0.76688,                 0.4645,                 1.1642,                 1.1584,                 1.4002,             0.00082925,             0.00082925,             0.00082925
                     36,                0.98293,                0.90766,                 1.2001,                0.69146,                0.70085,                0.76518,                0.46634,                 1.1604,                 1.0493,                  1.409,             0.00081688,             0.00081688,             0.00081688
                     37,                 1.0236,                0.94312,                 1.2238,                0.73582,                0.68229,                0.81725,                0.51116,                 1.1254,                0.90453,                 1.3939,              0.0008045,              0.0008045,              0.0008045
                     38,                0.98426,                 0.9482,                 1.2354,                0.75353,                0.63603,                 0.7858,                0.46081,                 1.2109,                0.96625,                 1.4499,             0.00079213,             0.00079213,             0.00079213
                     39,                 1.0022,                0.97214,                 1.2537,                0.72104,                0.70101,                0.77403,                0.45905,                 1.1888,                0.95538,                  1.437,             0.00077975,             0.00077975,             0.00077975
                     40,                0.97988,                0.89873,                 1.2143,                0.78425,                 0.5997,                0.73452,                0.45383,                 1.1408,                0.99767,                 1.3724,             0.00076738,             0.00076738,             0.00076738
                     41,                0.97231,                0.91654,                 1.2034,                0.72343,                0.69554,                0.76939,                 0.4678,                 1.1957,                 1.6566,                  1.399,               0.000755,               0.000755,               0.000755
                     42,                0.94059,                0.86157,                 1.1818,                0.79022,                0.66129,                0.78175,                0.45778,                 1.1578,                0.92876,                 1.4106,             0.00074263,             0.00074263,             0.00074263
                     43,                 1.0091,                0.90196,                 1.2219,                0.72361,                0.71178,                0.77405,                0.44112,                 1.1284,                0.93573,                  1.375,             0.00073025,             0.00073025,             0.00073025
                     44,                0.96637,                0.91013,                 1.2094,                0.69873,                0.74436,                0.78571,                0.45363,                 1.1283,                 0.9522,                 1.3538,             0.00071788,             0.00071788,             0.00071788
                     45,                0.97945,                0.93001,                 1.2125,                0.70152,                0.73931,                0.79239,                0.47134,                 1.1186,                 0.9788,                 1.3572,              0.0007055,              0.0007055,              0.0007055
                     46,                0.96661,                0.89162,                 1.1763,                0.72177,                0.68145,                0.75011,                0.45536,                 1.0627,                0.92798,                 1.3241,             0.00069313,             0.00069313,             0.00069313
                     47,                0.94327,                0.86684,                 1.1797,                0.71665,                0.75699,                0.80368,                0.48077,                 1.0443,                0.84514,                 1.3079,             0.00068075,             0.00068075,             0.00068075
                     48,                0.91719,                0.85871,                 1.1691,                0.81063,                0.64032,                0.77673,                0.49052,                 1.2124,                0.83795,                 1.5444,             0.00066838,             0.00066838,             0.00066838
                     49,                0.95599,                0.88199,                 1.2144,                0.70045,                0.75077,                0.76407,                0.45652,                 1.1439,                0.92602,                 1.4293,               0.000656,               0.000656,               0.000656
                     50,                0.94962,                0.89028,                 1.1956,                0.79114,                0.72647,                0.82427,                0.50445,                 1.0529,                0.84551,                 1.3382,             0.00064362,             0.00064362,             0.00064362
                     51,                0.91608,                 0.8329,                 1.1788,                0.81067,                0.74377,                0.82347,                0.51426,                 1.0372,                0.87593,                 1.3381,             0.00063125,             0.00063125,             0.00063125
                     52,                0.88509,                0.83999,                 1.1653,                0.66305,                0.70424,                0.74268,                0.48464,                 1.1148,                0.91092,                  1.385,             0.00061887,             0.00061887,             0.00061887
                     53,                0.91022,                0.83356,                 1.1753,                 0.6385,                 0.7065,                0.71073,                0.44285,                 1.1368,                 1.0511,                 1.3787,              0.0006065,              0.0006065,              0.0006065
                     54,                0.90558,                 0.8348,                 1.1607,                0.67194,                 0.7256,                0.75821,                0.46966,                  1.098,                0.93147,                 1.3653,             0.00059413,             0.00059413,             0.00059413
                     55,                0.91932,                0.78056,                 1.1572,                 0.6876,                0.79509,                 0.8227,                0.50434,                 1.0513,                0.86682,                 1.3291,             0.00058175,             0.00058175,             0.00058175
                     56,                0.89178,                0.80391,                 1.1475,                0.70285,                0.75259,                0.82265,                0.50601,                 1.0571,                0.84767,                 1.3042,             0.00056938,             0.00056938,             0.00056938
                     57,                0.90287,                0.83331,                  1.168,                0.66324,                0.76053,                0.79709,                0.51666,                 1.0389,                0.78963,                 1.3166,               0.000557,               0.000557,               0.000557
                     58,                0.93609,                0.85459,                 1.1966,                0.73413,                0.68943,                0.78364,                0.49711,                0.97876,                0.77577,                 1.2728,             0.00054463,             0.00054463,             0.00054463
                     59,                0.91185,                0.82973,                 1.1597,                0.72359,                0.74154,                0.77687,                0.51317,                 1.0036,                0.78769,                 1.2858,             0.00053225,             0.00053225,             0.00053225
                     60,                0.88491,                0.78931,                 1.1502,                0.78246,                0.71298,                0.78735,                 0.5101,                 1.0014,                0.79414,                  1.274,             0.00051988,             0.00051988,             0.00051988
                     61,                0.88701,                0.78535,                 1.1577,                0.73409,                0.75473,                0.79269,                0.49098,                 1.0295,                0.75619,                  1.292,              0.0005075,              0.0005075,              0.0005075
                     62,                0.89143,                0.77548,                 1.1569,                0.80454,                0.64466,                 0.7708,                0.47883,                 1.0854,                0.86314,                  1.321,             0.00049513,             0.00049513,             0.00049513
                     63,                 0.8856,                0.77843,                   1.16,                0.71516,                0.67519,                0.76271,                0.48643,                 1.0345,                0.85244,                 1.3189,             0.00048275,             0.00048275,             0.00048275
                     64,                 0.8664,                0.78163,                 1.1369,                 0.7407,                0.69818,                0.78388,                0.50253,                 1.0227,                0.81663,                   1.25,             0.00047038,             0.00047038,             0.00047038
                     65,                0.87435,                0.75806,                 1.1355,                0.69934,                0.76056,                 0.7968,                0.49963,                  1.043,                0.86492,                 1.2842,               0.000458,               0.000458,               0.000458
                     66,                0.87462,                0.78607,                 1.1311,                0.72936,                 0.7506,                0.82121,                0.52644,                0.97331,                0.79649,                 1.2795,             0.00044563,             0.00044563,             0.00044563
                     67,                 0.8749,                0.75293,                 1.1589,                0.71572,                0.76965,                0.84003,                0.53253,                 1.0193,                0.74437,                 1.2922,             0.00043325,             0.00043325,             0.00043325
                     68,                0.85531,                  0.754,                 1.1492,                0.71118,                0.76653,                0.79635,                0.47835,                 1.0318,                0.84812,                 1.3291,             0.00042087,             0.00042087,             0.00042087
                     69,                0.86192,                0.72092,                 1.1525,                0.81581,                0.68866,                0.82716,                0.53495,                 1.0088,                0.84459,                 1.2946,              0.0004085,              0.0004085,              0.0004085
                     70,                0.85121,                0.74451,                 1.1301,                0.71419,                0.70603,                0.80639,                0.50848,                 1.0375,                0.82026,                 1.3063,             0.00039613,             0.00039613,             0.00039613
                     71,                0.88069,                0.73655,                 1.1347,                0.79511,                0.74229,                0.83545,                0.51522,                 1.0378,                0.73876,                 1.3187,             0.00038375,             0.00038375,             0.00038375
                     72,                0.82943,                 0.7082,                 1.1058,                0.79549,                0.70421,                0.82355,                0.51493,                 1.0085,                0.76447,                 1.2809,             0.00037138,             0.00037138,             0.00037138
                     73,                0.83539,                0.69839,                 1.1319,                0.77891,                0.69815,                0.79673,                0.52012,                0.98717,                0.74206,                 1.2917,               0.000359,               0.000359,               0.000359
                     74,                0.83241,                0.73139,                 1.1239,                0.86464,                0.66272,                 0.8153,                0.51098,                 1.0084,                 0.7848,                 1.2808,             0.00034663,             0.00034663,             0.00034663
                     75,                0.82629,                0.70316,                 1.1029,                0.77434,                0.74644,                0.81677,                0.52522,                 1.0028,                0.74692,                 1.2956,             0.00033425,             0.00033425,             0.00033425
                     76,                0.79299,                0.70291,                 1.0999,                0.78051,                 0.7042,                0.80286,                0.52033,                 1.0091,                0.73336,                 1.3051,             0.00032188,             0.00032188,             0.00032188
                     77,                0.80789,                0.71886,                 1.1135,                0.71442,                0.71688,                0.78019,                0.51528,                  1.004,                0.76345,                 1.3006,              0.0003095,              0.0003095,              0.0003095
                     78,                 0.7927,                0.66971,                 1.1013,                0.79558,                0.71164,                0.82179,                0.52396,                0.98473,                0.74925,                 1.2992,             0.00029713,             0.00029713,             0.00029713
                     79,                0.81407,                0.67681,                 1.1001,                0.76463,                0.71056,                0.79299,                0.50889,                0.97665,                0.72432,                 1.2728,             0.00028475,             0.00028475,             0.00028475
                     80,                0.79317,                0.69845,                 1.0954,                0.77972,                0.75616,                 0.8411,                0.52942,                0.97133,                0.74391,                 1.2744,             0.00027237,             0.00027237,             0.00027237
                     81,                0.79443,                0.67947,                 1.1066,                0.69024,                0.73742,                0.78283,                0.50863,                0.96528,                0.72671,                 1.2756,                0.00026,                0.00026,                0.00026
                     82,                 0.7586,                0.69099,                 1.0825,                0.74487,                 0.7387,                0.79276,                0.50548,                0.97844,                0.74331,                 1.2734,             0.00024762,             0.00024762,             0.00024762
                     83,                0.79392,                0.67748,                 1.1171,                 0.7475,                0.71804,                0.81417,                0.53092,                 0.9735,                0.74191,                 1.2787,             0.00023525,             0.00023525,             0.00023525
                     84,                0.81777,                0.69879,                 1.1267,                0.77454,                0.71825,                0.82515,                0.53439,                0.97688,                0.73174,                 1.2799,             0.00022288,             0.00022288,             0.00022288
                     85,                0.74833,                 0.6329,                 1.0675,                0.81038,                0.76431,                0.82884,                0.52923,                0.94793,                0.74427,                 1.2752,              0.0002105,              0.0002105,              0.0002105
                     86,                  0.778,                0.66524,                 1.0703,                0.76246,                0.74069,                0.80685,                 0.5268,                0.96942,                0.76662,                 1.2705,             0.00019813,             0.00019813,             0.00019813
                     87,                0.76816,                0.63953,                 1.0916,                0.78737,                0.72558,                0.81941,                0.52983,                0.95485,                0.76067,                 1.2584,             0.00018575,             0.00018575,             0.00018575
                     88,                0.74775,                0.62058,                 1.0872,                0.81221,                0.73639,                0.83663,                0.52736,                0.94838,                 0.7345,                 1.2536,             0.00017338,             0.00017338,             0.00017338
                     89,                0.77327,                0.64304,                 1.0915,                0.81155,                0.75248,                0.84841,                0.53698,                0.96231,                0.72656,                 1.2677,               0.000161,               0.000161,               0.000161
                     90,                0.72907,                0.63161,                 1.0752,                0.84158,                0.71685,                0.84065,                0.53565,                0.97949,                0.74318,                 1.2611,             0.00014862,             0.00014862,             0.00014862
                     91,                0.78139,                0.63153,                 1.1431,                0.77134,                0.73236,                 0.7922,                0.52078,                0.99532,                0.77475,                  1.262,             0.00013625,             0.00013625,             0.00013625
                     92,                0.73425,                0.58228,                 1.1124,                0.78534,                0.75163,                0.81909,                0.52447,                0.99345,                 0.7572,                 1.2676,             0.00012387,             0.00012387,             0.00012387
                     93,                0.75837,                0.58827,                 1.1348,                0.80528,                0.76869,                0.84183,                0.53074,                0.98353,                0.73024,                 1.2659,              0.0001115,              0.0001115,              0.0001115
                     94,                0.72062,                0.58291,                 1.1104,                0.78473,                0.69513,                0.81748,                0.52071,                0.97481,                0.75412,                 1.2656,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.69363,                0.54913,                 1.0932,                0.77936,                0.71755,                0.82012,                0.51534,                0.98121,                0.76367,                 1.2735,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.73166,                0.60375,                 1.1175,                0.77244,                 0.7146,                0.81748,                0.52665,                0.95522,                0.75628,                 1.2502,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.71125,                0.54632,                 1.0986,                0.78344,                0.70085,                0.81668,                0.52735,                0.96145,                0.74187,                 1.2492,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.68492,                0.56301,                 1.0837,                0.79451,                0.66221,                0.82001,                0.53341,                0.96607,                0.74111,                 1.2474,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.70455,                0.53874,                 1.0942,                0.76638,                0.68294,                 0.8246,                0.53204,                0.96906,                0.73962,                 1.2511,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.67663,                0.58673,                  1.064,                0.78235,                0.71079,                0.83244,                0.53845,                0.96282,                0.75044,                  1.251,             2.4875e-05,             2.4875e-05,             2.4875e-05
